thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0024914999958127737,0.005559000186622143,0.005559000186622143,1.19832650013268,space,1.1893577999435365,None,,,,,,,,,,,,,,,,,,,,,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,1.6485367000568658,1.6768557000905275,1.6633556796703488,9.484635300002992,9.495063200127333,9.512826600112021,9.511759760114364,11.965219000121579,11.965219000121579,12.446940300054848,12.446940300054848,12.945708000101149,14.781879300018772,w,1,1824.276100145653,None,7.308,2.436,3,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,15.021320400061086,15.042335300007835,15.046515259798616,17.05512659996748,17.05512659996748,17.279570800019428,17.27856286012102,21.775677800178528,21.775677800178528,22.263682400109246,22.263682400109246,22.762678100029007,23.664982800139114,p,1,896.5528998523951,None,1.494,4.482,3,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,23.88777959998697,23.90545430011116,23.912989799981005,28.15353320003487,28.15353320003487,28.395865899976343,28.396477259951645,29.645668199984357,29.645668199984357,30.147159500047565,30.147159500047565,30.646307799965143,31.565168800065294,w,1,909.7375001292676,None,3.725,1.2416666666666667,3,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,31.57846330013126,31.58141230000183,31.58141230000183,34.297300999984145,space,2.7114999000914395,None,,,,,,,,,,,,,,,,,,,,,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,34.52327490015887,34.54318380006589,34.54610299982596,37.253613700158894,37.253613700158894,37.49589190003462,37.49610766002443,44.11483289999887,44.11483289999887,44.61414600000717,44.61414600000717,45.113037900067866,45.86450230004266,p,1,735.540600027889,None,2.198,6.603156920634261,3.0041660239464334,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,46.07883060001768,46.09634260018356,46.09645213987678,48.25430979998782,48.25430979998782,48.51263490016572,48.5125888600247,51.80241630016826,51.80241630016826,52.279988000169396,52.279988000169396,52.77975900005549,53.715324100106955,p,1,918.6501998919994,None,1.635517715871903,3.274,2.0018126176362534,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,53.92743160016835,53.945123500190675,53.946680339844896,57.06474389997311,57.06474389997311,57.329722200054675,57.329598960024306,61.383700100006536,61.383700100006536,61.86394520010799,61.86394520010799,62.36336369998753,63.23230840009637,p,1,864.9435001425445,None,2.604103354203636,4.035,1.5494776708791378,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,63.44288700004108,63.46833910001442,63.46320473994128,71.44621159997769,71.46254930016585,71.71274660015479,71.71263056017924,77.40208950010128,77.40208950010128,77.89715730003081,77.89715730003081,78.39620069996454,79.36394609999843,p,0,951.8959999550134,None,7.48,5.674175602427728,1.3182531743994035,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,79.58633790002204,79.60426439996809,79.59664373993873,84.32335379999131,84.32958360016346,84.57941440003924,84.57933065996039,87.30297560011968,87.30297560011968,87.79815180017613,87.79815180017613,88.29692970006727,89.93206150014885,w,1,1622.6657000370324,None,4.21,2.7170446397019345,1.5494776708791378,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,90.16595060005784,90.18391420016997,90.18034029996488,95.06345640006475,95.0794039000757,95.3296356999781,95.32948996012564,98.17259249999188,98.17259249999188,98.6472426999826,98.6472426999826,99.1466039000079,100.04783380008303,w,1,886.406300123781,None,4.381922853246201,2.828,1.5494776708791378,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
,,,,,,,,,100.2643393999897,100.28317970014177,100.2804942399729,106.84156720014289,106.84156720014289,107.09659259999171,107.09639425997156,111.54156140005216,111.54156140005216,112.03173770010471,112.03173770010471,112.53069250006229,116.06686730007641,w,1,3527.833699947223,None,6.04,4.429921613839618,1.363455276754853,,,,,AAL315,001,2025-04-02_09h43.50.365,Time estimation,2023.2.3,59.955560962780226,2025-04-02 09h44.14.362396 +0200,
