thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1.2377618000027724,1.2793552999937674,1.2793552999937674,137.53143049999198,space,136.23423020000337,None,,,,,,,,,,,,,,,,,,,,,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,138.88248970000132,139.00743939999666,138.9103561399941,140.04751489999762,140.04284247999894,140.93457219999982,141.0265376999887,144.57437639999262,144.57437639999262,145.09117549999792,145.09117549999792,145.56001010000182,145.99728250000044,p,1,425.3406000061659,None,1.5073333333333334,4.522,3,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,146.5379571999947,146.59135099999548,146.57633999999962,151.76274510000076,151.75575397999782,151.89219939999748,151.89981849999458,153.35459869999613,153.34382029999688,153.85146199999144,153.85146199999144,154.34034769999562,156.42708819999825,w,1,2078.7465999892447,None,4.751,1.5836666666666668,3,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,157.15208220000204,157.20210419999785,157.18949007999035,161.77101989999937,161.76971597999508,162.02420429998892,162.03614849998849,163.23666709999088,163.23666709999088,163.7064471999911,163.7064471999911,164.20364369999152,166.00625439999567,w,1,1794.5165999990422,None,4.331,1.4436666666666669,3,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,166.05109629999788,166.06207259999064,166.06207259999064,170.25231840000197,space,4.181236999997054,None,,,,,,,,,,,,,,,,,,,,,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,170.92984989999968,170.97654419999162,170.965422940001,173.38331140000082,173.38220027999486,173.6251096999913,173.63248709999607,179.86112649999268,179.86112649999268,180.3130885999999,180.3130885999999,180.79795379999268,181.2513414999994,p,1,442.508899999666,None,2.130707806751407,6.401,3.0041660239464334,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,181.99698119999084,182.0434469999891,182.03089605999702,189.87789199998952,189.87672727999743,190.17776419999427,190.18539839998994,193.7294938999985,193.7294938999985,194.1884904999897,194.1884904999897,194.67668619999313,200.37836719999905,w,1,5689.106899997569,None,7.612,3.802553712039378,2.0018126176362534,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,201.04927099999622,201.09503349999432,201.07440775999856,207.17229649999354,207.1703898799984,207.3996996999922,207.40774939999392,210.95630710000114,210.95630710000114,211.41494930000044,211.41494930000044,211.90425379999215,214.25703129998874,p,0,2335.347600004752,None,5.788,3.7354523455094535,1.5494776708791378,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,214.96234820000245,215.00791619998927,214.98656001999043,217.85196089999226,217.8506990799884,218.09118119999766,218.09992759999295,223.0980156000005,223.0980156000005,223.5657099999953,223.5657099999953,224.0500660999969,224.70344260000275,p,1,641.7362000065623,None,2.5926502582086672,5.19,2.0018126176362534,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,225.4116023999959,225.45736960000067,225.44953559999703,227.43196770000213,227.43077157998923,227.73693269999058,227.73693269999058,230.88270669999474,230.88270669999474,231.39207560000068,231.39207560000068,231.88068999999086,234.51776380000229,p,1,2633.0948999966495,None,1.7209402966336913,3.445,2.0018126176362534,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,235.07523760000186,235.12177610000072,235.1128109799989,238.39467449999938,238.39374927999742,238.52679859999625,238.52679859999625,243.12441789999139,243.12441789999139,243.60661770000297,243.60661770000297,244.09339460000047,245.13003669999307,p,1,1031.6681999975117,None,2.871,4.692719909904443,1.6345245245226203,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,245.8587097999989,245.90464969999448,245.89255927998747,247.87511969999468,247.8739330799959,248.15396280000277,248.16115689999424,250.72168989999045,250.72168989999045,251.22700769999938,251.22700769999938,251.7239769000007,252.45992439999827,p,1,720.0213000032818,None,1.739,2.842438148144837,1.6345245245226203,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,253.0136072000023,253.06027390000236,253.03992739999376,256.4724004000018,256.4711076799955,256.5805268999975,256.58866709998983,260.7367585999891,260.7367585999891,261.2455989000009,261.2455989000009,261.7371414999943,262.5064629999979,p,1,759.0936000051443,None,3.007018402434357,4.258,1.4160205991931745,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,263.0669687999907,263.11378030000196,263.1031869800005,267.0357088000019,267.03413727999725,267.12158479999925,267.13316260000283,272.0739154999901,272.0739154999901,272.52958699999726,272.52958699999726,273.00022219998937,273.4360348999908,p,1,422.5134000007529,None,3.5154855818032473,4.978,1.4160205991931745,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,274.1802392999962,274.22669450000103,274.2162162599882,275.8489372999902,275.8478879799892,276.13130719999026,276.13130719999026,277.6459629000019,277.6459629000019,278.16062599999714,278.16062599999714,278.64826089999406,280.1172735,p,1,1458.9329000009457,None,1.406,1.7985991620912916,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,280.67502579999564,280.72127769999497,280.6976250000007,284.4957888999925,284.4949811799976,284.58606119999604,284.59404959999665,287.1428245999996,287.1428245999996,287.6319672999962,287.6319672999962,288.12818600000173,288.64762239999254,p,0,511.9700999930501,None,3.3694951585693187,2.634,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,289.16679259999364,289.21339059999445,289.1945880399988,292.22631079998973,292.2251629799954,292.31613639999705,292.32245449999755,295.90520690000267,295.90520690000267,296.40199709999433,296.40199709999433,296.87516669998877,297.97768019999785,p,1,1089.0338000026532,None,2.578,3.6505011047200036,1.4160205991931745,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,298.50707199999306,298.55314589999034,298.5412029200001,304.95560190000106,304.9542868799996,305.0744762999966,305.0744762999966,313.4586810999899,313.4586810999899,313.91423219999706,313.91423219999706,314.4027875000029,315.87295520000043,p,1,1463.8752000028035,None,5.966721109010775,8.449,1.4160205991931745,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,316.54294610000215,316.58947679999983,316.56877806000125,318.4346913999907,318.43339017999244,318.6806137999956,318.6877928999893,319.65021989999514,319.65021989999514,320.1509992999927,320.1509992999927,320.63403479999397,324.51892669999506,w,1,3875.5979999987176,None,1.5465906023957126,1.209,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,325.05105110000295,325.0986094999971,325.08224601999103,330.42961779999314,330.42921997999076,330.5278765999974,330.53569429999334,336.75474669999676,336.75474669999676,337.2060218999977,337.2060218999977,337.69487559999106,338.9646599999978,p,1,1251.485100001446,None,4.896690816735171,6.264,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,339.61513989999366,339.6606699999975,339.644110679999,343.4594674999971,343.4583190799982,343.650410199989,343.650410199989,346.39450450000004,346.39450450000004,346.89079009999114,346.89079009999114,347.37499989999924,348.79409709999163,p,0,1414.297200011788,None,3.483,2.925764283957153,1.190458171595825,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,349.38778479999746,349.4380186999915,349.4241543399956,355.438825499994,355.4377952799929,355.5928991999972,355.6003253999952,362.68720849999227,362.68720849999227,363.1469625999889,363.1469625999889,363.63653409999097,364.29020389998914,p,1,640.8310999977402,None,5.629161968599929,7.201,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,365.0061543999909,365.054925599994,365.03569209999114,372.58276119999937,372.5817539799988,372.88664099999005,372.8947143999976,378.2982847999956,378.2982847999956,378.7923207999993,378.7923207999993,379.2809427000029,380.31616639999265,w,1,1018.3082000003196,None,7.283,5.693262965881584,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,381.136233799989,381.1827071000007,381.1626826799999,382.69631139999547,382.6951359799947,383.08970689999114,383.0971989999962,383.8959512000001,383.8959512000001,384.3494498999935,384.3494498999935,384.8457256999973,387.8480562999903,w,1,2984.842899997602,None,1.3678364391636029,1.149,1.190458171595825,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,388.4219327000028,388.4677120999986,388.4444842799945,392.64281179998943,392.64173287999586,392.7428295999998,392.7584288999933,395.8849431999988,395.8849431999988,396.3318900000013,396.3318900000013,396.82498569999007,397.62861390000035,p,0,795.0798000092618,None,3.786,3.1802881363944246,1.190458171595825,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,398.2728129999887,398.32213390000106,398.3079404799879,402.85619659999793,402.8542537799891,403.0475923999911,403.05537599998934,408.28649430000223,408.28649430000223,408.7630882999947,408.7630882999947,409.2378345999896,409.79074599999876,p,1,535.8298000064678,None,4.215813150487352,5.393,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,410.54996350000147,410.6044474999944,410.5866245399928,416.26829310000176,416.2672544799949,416.6073488999973,416.61515769999824,423.30264989999705,423.30264989999705,423.7788883999892,423.7788883999892,424.26589189999504,426.2020477999904,p,1,1927.126099995803,None,5.470472914353882,6.998,1.2792312674902502,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
,,,,,,,,,426.9243981999898,426.971295299998,426.9481861999957,433.7624236999982,433.7611861799902,434.02067969999916,434.0282939000026,441.598568100002,441.598568100002,442.0907506999938,442.0907506999938,442.5760343000002,443.1965441999928,p,1,606.803000002401,None,6.555459222509796,7.804,1.190458171595825,,,,,AFI1115,001,2025-03-12_11h37.22.898,Time estimation,2023.2.3,60.061863720472815,2025-03-12 11h37.51.718891 +0100,
