thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010101083000336075,0.01791570800014597,0.01791570800014597,74.03559374999895,space,73.99938966599984,None,,,,,,,,,,,,,,,,,,,,,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,74.30459412500022,74.32675854099944,74.31853474999916,76.4237049580006,76.42874470800052,76.63924920799946,76.64483166666675,81.45054233299925,81.46039308299987,81.95607112499965,81.95607112499965,82.45188991599935,86.04591062500003,p,1,3585.243084000467,None,1.6066666666666667,4.82,3,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,86.22317825000027,86.23494737500005,86.22822599933255,89.02695833299913,89.03023529100028,89.35295912499896,89.36116041666561,96.27259674999914,96.27259674999914,96.7730588329996,96.7730588329996,97.26805720799894,99.19563995799945,p,1,1917.2933749996446,None,2.306,6.918,3,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,99.37121420800031,99.38290433300062,99.37800487433282,105.53803200000038,105.53803200000038,105.85309987499932,105.86124091666558,107.73214362500039,107.74382995799897,108.23848441600057,108.23848441600057,108.73337541599903,111.79592729099932,w,1,3058.0815419998544,None,5.661,1.887,3,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,111.80530874999931,111.81030400000054,111.81030400000054,129.46462379100012,space,17.651439250001204,None,,,,,,,,,,,,,,,,,,,,,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,129.6355577079994,129.6461121249995,129.64746849933266,132.5609298750005,132.5609298750005,132.87719195799946,132.883662749666,140.1445079999994,140.15528466599972,140.6560650829997,140.6560650829997,141.14980133300014,144.0444206659995,p,1,2887.9787910009327,None,2.419972778485038,7.27,3.0041660239464334,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,144.2191876249999,144.23078524999983,144.2265515833323,151.2042981249997,151.2042981249997,151.5200449160002,151.5277408746663,154.74780745799944,154.7595608749998,155.25689049999892,155.25689049999892,155.75135562499963,157.10228554099922,w,1,1347.9919159999554,None,6.48,3.2370662183414574,2.0018126176362534,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,157.27823366600023,157.29031516599935,157.2846185413336,165.0225697499991,165.04435162499976,165.33624241600046,165.34399312466692,169.99814795800012,170.01981387500018,170.5105359579993,170.5105359579993,171.01075866599967,183.22803604100045,w,1,12212.484125000628,None,7.24,4.672542325758196,1.5494776708791378,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,183.4026420829996,183.41445424999984,183.41084862433394,186.7375915829998,186.7375915829998,187.05536316600046,187.06078783266665,189.19407408299958,189.20451954099917,189.70501341599993,189.70501341599993,190.19966166599988,192.49528141600058,p,0,2290.6271669999114,None,2.8289713122611198,2.146,1.3182531743994035,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
,,,,,,,,,192.6716115830004,192.6801341249993,192.67745537433342,195.6370024579992,195.6370024579992,195.95656904099997,195.9607890416667,199.77074029100004,199.77074029100004,200.2689456249991,200.2689456249991,200.7677786660006,203.08483175000038,p,1,2312.3797080006625,None,2.461,3.813264548033558,1.5494776708791378,,,,,AIA0916,001,2025-02-11_12h07.53.369,Time estimation,2023.2.3,None,2025-02-11 12h08.20.985785 +0100,
