thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0025902000052155927,0.005540800004382618,0.005540800004382618,0.7892914999974892,space,0.7778577999997651,None,,,,,,,,,,,,,,,,,,,,,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,1.401547000001301,1.44729370001005,1.4214778400084471,5.808145900009549,5.804772230001982,5.938541800001985,5.971464100002777,7.162468100010301,7.162468100010301,7.658157300000312,7.658157300000312,8.155645599996205,19.254970399997546,w,1,11086.96100000816,None,4.016,1.3386666666666667,3,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,19.526444900009665,19.55936520000978,19.553907940007047,26.486353800006327,26.484791529996436,26.291929400002118,26.291929400002118,28.572881200001575,28.572881200001575,29.071720599997207,29.071720599997207,29.569833900008234,31.937072700005956,w,1,2353.8201000046683,None,6.2250000000000005,2.075,3,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,32.18928760000563,32.22323040000629,32.20262778000906,38.86716010000964,38.86640633000061,38.6341029000032,38.64986730000237,40.85258079999767,40.85258079999767,41.35324379999656,41.35324379999656,41.851282000003266,42.80238839999947,w,1,948.9839000016218,None,5.928,1.976,3,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,42.8114224000019,42.81611660000635,42.81611660000635,47.282931499998085,space,4.457311799997115,None,,,,,,,,,,,,,,,,,,,,,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,47.54208460000518,47.57560710000689,47.565478310000614,51.93215710000368,51.931707130008725,51.7235517000081,51.731573500001105,53.152676099998644,53.152676099998644,53.65202429999772,53.65202429999772,54.1497473000054,66.36594990000594,w,1,12201.778400005423,None,3.64705755307097,1.214,3.0041660239464334,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,66.62902880000183,66.66249990000506,66.64835141000805,69.58014960000583,69.57927653000516,69.36320010000782,69.37961080000969,74.0219061000098,74.0219061000098,74.51553830000921,74.51553830000921,75.01346509999712,75.66466039999796,p,1,642.5959000043804,None,2.213,4.430011322829029,2.0018126176362534,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,75.9672569000104,76.00053299999854,75.98008057000116,83.32929989999684,83.32729423000129,83.1526920000033,83.16083340000478,87.6327367000049,87.6327367000049,88.13109180000902,88.13109180000902,88.62840220000362,90.82972130000417,w,1,2197.1026999963215,None,6.655,4.294995742806741,1.5494776708791378,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,91.15511069999775,91.19160620000912,91.17841163000267,96.39312670000072,96.39237103000633,96.24243430000206,96.24243430000206,102.4083515000093,102.39292749999731,102.8957104000001,102.8957104000001,103.39324520000082,112.21059790000436,p,1,8807.43679999432,None,4.552236335584064,6.001,1.3182531743994035,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
,,,,,,,,,112.50757220000378,112.54020090000995,112.52580527000246,119.62356449999788,119.62270793000644,119.44301290001022,119.45615300000645,125.02297479999834,125.02297479999834,125.5260724999971,125.5260724999971,126.00707800000964,127.77495920000365,w,1,1766.1547000025166,None,6.411,5.385321511469797,1.190458171595825,,,,,CRO515,001,2024-04-30_10h21.55.928,Time estimation,2023.2.3,60.07820981282188,2024-04-30 10h22.07.710324 +0200,
