thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0027257001493126154,0.0060211000964045525,0.0060211000964045525,5.949885300127789,space,5.933261000085622,None,,,,,,,,,,,,,,,,,,,,,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,6.5851666000671685,6.647177099948749,6.599274279503152,11.300724599976093,11.299164620041847,11.454177800100297,11.499312700005248,12.752204600023106,12.752204600023106,13.252614700002596,13.252614700002596,13.7334304000251,17.03408890007995,w,1,3296.1289999075234,None,4.338,1.446,3,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,17.338555900147185,17.370800100034103,17.350069179851562,21.999173799995333,21.99855161998421,21.822940099984407,21.831908200168982,23.314974799985066,23.314974799985066,23.81909490004182,23.81909490004182,24.316496700048447,33.48414129996672,w,1,9165.653900010511,None,3.952,1.3173333333333332,3,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,33.79216290009208,33.8246969000902,33.816759599605575,36.248870300129056,36.24836872010492,36.092570800101385,36.092570800101385,41.52280510007404,41.52280510007404,42.00198610010557,42.00198610010557,42.499506999971345,44.53356699994765,p,1,2021.6597998514771,None,1.753,5.2589999999999995,3,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,44.541411800077185,44.54835830000229,44.54835830000229,53.9654691000469,space,9.406718399841338,None,,,,,,,,,,,,,,,,,,,,,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,54.26459820009768,54.296711300034076,54.28154977965169,56.249291599961,56.24789652000182,56.07282779994421,56.08120679995045,60.072522999951616,60.072522999951616,60.56842810008675,60.56842810008675,61.06587309995666,61.85012080008164,p,1,767.2830000519753,None,1.27,3.8152908504119702,3.0041660239464334,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,62.10279870009981,62.13552510016598,62.11607811977156,66.76501319999807,66.76433882005513,66.53315440006554,66.54773240000941,74.59262669994496,74.59262669994496,75.08494550012983,75.08494550012983,75.58232130017132,76.75002319994383,p,1,1162.7923999913037,None,3.904461352246424,7.816,2.0018126176362534,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,77.04654500004835,77.08341600000858,77.06597287971526,81.36480600014329,81.36411751997657,81.1927475000266,81.19746810011566,83.70234429999255,83.70234429999255,84.20143879996613,84.20143879996613,84.69877400016412,85.5329134000931,p,0,817.9816000629216,None,3.614,2.332398890233442,1.5494776708791378,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,85.78411790006794,85.81669350015,85.79889021981508,88.73114889999852,88.7306902199518,88.50320439995266,88.51398880011402,93.12268969998695,93.12268969998695,93.61778039997444,93.61778039997444,94.09867039998062,95.88269950007088,p,1,1771.0721001494676,None,2.1875174336600676,4.379,2.0018126176362534,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,96.223013299983,96.25826760008931,96.24869583975524,104.93106620013714,104.93039132007398,104.803055500146,104.81364720012061,108.95230889995582,108.95230889995582,109.45096220006235,109.45096220006235,109.94845929997973,111.28254130017012,w,1,1319.1060000099242,None,8.042,4.017359032083641,2.0018126176362534,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,111.57814280013554,111.61601500003599,111.59851847980171,119.99741760012694,119.99683872009628,119.81406860006973,119.83017050009221,124.73267529997975,124.73267529997975,125.23395949997939,125.23395949997939,125.71472560008988,126.51603440009058,w,1,799.6467999182642,None,7.713,4.718803471151747,1.6345245245226203,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,126.82250689994544,126.85460710013285,126.84817989962175,134.447023200104,134.44656712007708,134.28237530007027,134.28237530007027,138.7026588001754,138.7026588001754,139.18371190014295,139.18371190014295,139.6811665999703,140.5485480001662,w,1,851.0143000166863,None,6.926,4.237317884246986,1.6345245245226203,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,140.85291030001827,140.88492520013824,140.864528679708,146.09691440011375,146.09632251998408,145.92327070003375,145.92958900006488,149.32245200010948,149.32245200010948,149.8171902000904,149.8171902000904,150.31462020007893,151.3318714001216,w,1,1011.1261000856757,None,4.543,3.208286660934543,1.4160205991931745,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,151.65953950001858,151.69534120010212,151.68110141977667,155.11334590008482,155.1127777200192,154.96325980010442,154.97950260015205,157.08243059995584,157.08243059995584,157.56683410005644,157.56683410005644,158.06422850000672,160.13165899994783,w,1,2052.441499894485,None,2.7725683332202355,1.958,1.4160205991931745,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,160.3923361999914,160.4247922000941,160.4143050397746,169.11311980010942,169.1126194200944,168.90331230009906,168.91262850002386,175.37296109995805,175.37296109995805,175.84974270011298,175.84974270011298,176.34727660007775,177.76508010015823,p,0,1415.6320998445153,None,7.976,6.23499456485947,1.2792312674902502,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
,,,,,,,,,178.08461809996516,178.11665490013547,178.0976837996859,182.4628842000384,182.4623641199898,182.30272020003758,182.31231510010548,187.70242760004476,187.70242760004476,188.19979530014098,188.19979530014098,188.69699169998057,189.81475630006753,p,1,1105.9633998665959,None,3.6955677078297295,5.233,1.4160205991931745,,,,,DKR615,001,2024-05-20_14h43.40.396,Time estimation,2023.2.3,60.064028266193105,2024-05-20 14h43.55.939202 +0200,
