thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0649602001067251,0.08135470002889633,0.08135470002889633,15.896186000085436,space,15.813588700024411,None,,,,,,,,,,,,,,,,,,,,,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,17.29510960006155,17.36113249999471,17.328419940103775,20.027143000042997,20.027159740007484,20.96028820006177,20.993783900048584,21.093626200105064,21.093626200105064,21.57691740000155,21.57691740000155,22.076839200104587,27.99357500008773,w,1,5906.566499965265,None,3.124,1.0413333333333334,3,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,28.543245800072327,28.62561079999432,28.57588790007867,30.32552110007964,30.326160040008837,30.425439100014046,30.459545699995942,34.34087980003096,34.34087980003096,34.824214400025085,34.824214400025085,35.32409670006018,40.057644800050184,p,1,4719.729200005531,None,1.3326666666666667,3.998,3,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,40.590971900033765,40.67317449999973,40.62340046009049,42.606088800006546,42.60618204008788,42.68938049999997,42.72261680010706,47.2550858000759,47.2550858000759,47.73838970006909,47.73838970006909,48.23820640007034,49.50579850003123,p,1,1254.8968999180943,None,1.5416666666666667,4.625,3,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,49.51993220008444,49.53810850006994,49.53810850006994,53.10533440008294,space,3.5593951999908313,None,,,,,,,,,,,,,,,,,,,,,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,53.64378490007948,53.72066800005268,53.67087096008472,60.65250150009524,60.65245644005481,60.7356169000268,60.76917880005203,62.85202750004828,62.85202750004828,63.33525710005779,63.33525710005779,63.83517060009763,64.88619730004575,w,1,1041.2732999539003,None,6.546,2.178974113887629,3.0041660239464334,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,65.43717400007881,65.51825980003923,65.46853870002087,67.18440770008601,67.18440564002375,67.28455139999278,67.3177933000261,69.78391530003864,69.78391530003864,70.25051150005311,70.25051150005311,70.75042980001308,71.6514734000666,p,1,886.8352000135928,None,1.287,2.576332838897858,2.0018126176362534,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,72.09116760001052,72.1669058999978,72.11708742002956,78.04895940003917,78.04899564003571,78.01552000001539,78.04895940003917,81.54825320001692,81.54825320001692,82.0148183000274,82.0148183000274,82.51470220007468,85.03220130002592,w,1,2503.803899977356,None,5.382,3.4734285631533997,1.5494776708791378,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,85.58486570010427,85.66424350009765,85.61445340001956,91.97949679999147,91.9794865400996,92.07974100008141,92.11290900001768,99.82790180004667,99.82790180004667,100.31124670000281,100.31124670000281,100.81109269999433,101.42893739999272,p,1,611.1802000086755,None,5.938919891899289,7.829,1.3182531743994035,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,101.99352350004483,102.06086530000903,102.02785354005172,108.7594826000277,108.75945324010681,108.87613780004904,108.89283250004519,116.3080675000092,116.3080675000092,116.79116610006895,116.79116610006895,117.29110120004043,118.17546600010246,w,0,867.4183000111952,None,6.326135751501957,7.531,1.190458171595825,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,118.72757660003845,118.79182710009627,118.75783770007547,122.1567703000037,122.15677274009212,122.25684960000217,122.2735868000891,126.0892090999987,126.0892090999987,126.57268950005528,126.57268950005528,127.07255480007734,128.40672930004075,w,0,1319.384399917908,None,2.97211497464062,3.918,1.3182531743994035,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
,,,,,,,,,128.9616343000671,129.03909030009527,128.98916970007122,134.32103500002995,134.32101414005737,134.42100920004304,134.45451830001548,137.5037420000881,137.5037420000881,137.98709050007164,137.98709050007164,138.48700429999735,139.27122680004686,w,1,778.8650998845696,None,4.902,3.163646751500923,1.5494776708791378,,,,,ERO618,001,2024-11-28_09h46.06.630,Time estimation,2023.2.3,59.82335357970446,2024-11-28 09h46.20.220355 +0100,
