thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.19196470000315458,0.21108049992471933,0.21108049992471933,25.776497999904677,space,25.552213600021787,None,,,,,,,,,,,,,,,,,,,,,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,27.622789199929684,27.748081799945794,27.656337738921867,30.643967399955727,30.639805079926738,31.957584699965082,31.957584699965082,32.02822449989617,32.10569159989245,32.432134500006214,32.432134500006214,32.923915899940766,33.743730399990454,w,1,810.0454000523314,None,3.855,1.285,3,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,34.3829798999941,34.432285999995656,34.42379967963789,36.30683629994746,36.306253379932606,40.96634649997577,40.96634649997577,36.48002819996327,36.48961229994893,41.47061729989946,41.47061729989946,41.95679219998419,42.143146999995224,p,1,171.0830999072641,None,1.5493333333333332,4.648,3,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,43.08914429997094,43.150247099925764,43.13979829940945,46.360686799976975,46.355878379917705,47.43838899990078,47.42821319994982,46.86012109997682,46.86688459990546,47.93845619994681,47.93845619994681,48.406489399960265,49.74298469990026,w,1,1327.0236999960616,None,3.198,1.066,3,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,49.78851619991474,49.7974790999433,49.7974790999433,53.15913299995009,space,3.3581855000229552,None,,,,,,,,,,,,,,,,,,,,,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,54.19689339993056,54.24842560000252,54.23803629935719,56.7394167999737,56.73909137994051,64.46613309998065,64.46613309998065,57.31942999991588,57.3264799999306,64.95048679993488,64.95048679993488,65.43931509996764,65.85909809998702,p,1,409.22849997878075,None,2.566436055312193,7.71,3.0041660239464334,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,66.91898249997757,66.96982909995131,66.95539847938343,70.22218239994254,70.22131057993974,71.90795859997161,71.90795859997161,70.81976339989342,70.82684619992506,72.4064737999579,72.4064737999579,72.88878539996222,74.00871969992295,w,1,1102.4326999904588,None,3.349032509305452,1.673,2.0018126176362534,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,74.78890269994736,74.84144879993983,74.8218961194856,80.82411960000172,80.82082817996852,89.82485479989555,89.81920079991687,81.13242269994225,81.14127329993062,90.31493829993997,90.31493829993997,90.80450939992443,91.2743207999738,p,1,453.81010009441525,None,5.797437529321255,8.983,1.5494776708791378,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,92.21048799995333,92.27194629993755,92.25428001941181,95.52091009996366,95.52019687988795,99.79653619998135,99.79653619998135,95.99978229997214,96.00719279993791,100.27527799992822,100.27527799992822,100.77066589996684,102.82348979997914,p,1,2034.8204000620171,None,3.23154920673023,4.26,1.3182531743994035,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
,,,,,,,,,103.64249549992383,103.6973924000049,103.68708675953093,110.17020539997611,110.16954337994102,115.51657209999394,115.51657209999394,110.54974079993553,110.55680249992292,116.01428759994451,116.01428759994451,116.50347849994432,116.65683349990286,w,1,138.88829993084073,None,6.346,5.330720685039361,1.190458171595825,,,,,FBR514,001,2024-05-28_09h10.09.271,Time estimation,2023.2.3,59.973072122955074,2024-05-28 09h10.27.724634 +0200,
