thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010388500057160854,0.01458039996214211,0.01458039996214211,29.833686500089243,space,29.81107629998587,None,,,,,,,,,,,,,,,,,,,,,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,30.482472700066864,30.519057099940255,30.49900050042197,32.53364229993895,32.53270979993977,32.71078249998391,32.71572219999507,37.622870800085366,37.622870800085366,38.11727280006744,38.11727280006744,38.615950299892575,40.61775290011428,p,1,1999.3261999916285,None,1.692,5.076,3,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,40.88706009997986,40.91206440003589,40.91581240016967,43.01598619995639,43.01509040012024,42.82084750011563,42.79835420008749,47.19103530002758,47.19103530002758,47.66709170001559,47.66709170001559,48.165239199995995,48.849887300049886,p,1,680.2155000623316,None,1.3863333333333332,4.159,3,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,49.08308649994433,49.105528600048274,49.09863490029238,54.69804870011285,54.69783680001274,54.463730100076646,54.463730100076646,56.32231470011175,56.32231470011175,56.79931279993616,56.79931279993616,57.298346699913964,58.1326723000966,w,1,820.165199926123,None,4.834,1.6113333333333333,3,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,58.144166599959135,58.14739040005952,58.14739040005952,78.16434879996814,space,20.003413799917325,None,,,,,,,,,,,,,,,,,,,,,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,78.42567060003057,78.45329579990357,78.44671940011904,82.16338480007835,82.16309730010107,81.94673989992589,81.96302899997681,91.18909520003945,91.18909520003945,91.6810461001005,91.6810461001005,92.17983309994452,92.23107230011374,p,1,34.409299958497286,None,2.997,9.00348557376746,3.0041660239464334,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,92.50097579997964,92.52553829993121,92.52980290027335,100.77973289997317,100.77882100013085,100.5841628999915,100.5841628999915,104.56210469990037,104.54754949989729,105.04687660001218,105.04687660001218,105.54574989993125,106.33076429995708,w,1,781.5657001920044,None,7.541,3.7670858568692793,2.0018126176362534,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,106.58754090010189,106.61117730010301,106.61244890023954,112.79546739999205,112.79467609990388,112.57834789995104,112.57834789995104,121.26179239992052,121.26179239992052,121.7630292000249,121.7630292000249,122.24496760009788,123.14585150009952,p,1,895.4301001504064,None,5.4579682940520815,8.457,1.5494776708791378,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,123.43253999995068,123.45483290008269,123.4613823001273,130.460719200084,130.46065769996494,130.2802965999581,130.2802965999581,138.78012769995257,138.78012769995257,139.27864699997008,139.27864699997008,139.77719249995425,140.4784806999378,p,1,691.7485999874771,None,6.307589590131893,8.315,1.3182531743994035,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
,,,,,,,,,140.7383038001135,140.76292410003953,140.7604901001323,143.77707009995356,143.77664549998008,143.550422700122,143.55983250006102,146.50978550012223,146.50159010011703,146.99500799993984,146.99500799993984,147.4935606000945,148.74451459990814,w,0,1239.1279998701066,None,2.283,2.717816005753268,1.190458171595825,,,,,MRO613,001,2024-04-14_17h15.45.373,Time estimation,2023.2.3,59.99808007475703,2024-04-14 17h16.01.798037 +0200,
