thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0024099000729620457,0.005665099946781993,0.005665099946781993,60.24075460014865,space,60.2215815000236,None,,,,,,,,,,,,,,,,,,,,,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,60.923889100085944,60.98711540014483,60.940951419994235,62.99151979992166,62.9901653600391,63.192406200105324,63.24016720009968,68.25213050004095,68.25605379999615,68.75992320012301,68.75992320012301,69.24066430004314,71.52606609999202,p,1,2282.3437000624835,None,1.75,5.25,3,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,71.84141930006444,71.87680960004218,71.85896089999005,74.13983010011725,74.13924206001684,73.98261049995199,73.98941819998436,78.96127109997906,78.96127109997906,79.46001209993847,79.46001209993847,79.95740210008807,82.12500989995897,p,1,2156.224000034854,None,1.605,4.8149999999999995,3,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,82.45799120003358,82.49412270006724,82.4746826600749,85.17309870012105,85.1724623600021,85.03268350008875,85.0391262001358,91.28162520006299,91.28162520006299,91.77635759999976,91.77635759999976,92.25712259998545,93.99157740012743,p,1,1720.4819000326097,None,2.033,6.099,3,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,94.00014160014689,94.00576369999908,94.00576369999908,109.48964220006019,space,15.468746100086719,None,,,,,,,,,,,,,,,,,,,,,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,109.7940144999884,109.8262209999375,109.80601614015177,112.02328940015286,112.0220233600121,111.84246459999122,111.85549420001917,116.63156870007515,116.63156870007515,117.12593810004182,117.12593810004182,117.623491599923,118.8911332001444,p,1,1256.3201000448316,None,1.528211145257883,4.591,3.0041660239464334,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,119.1383666000329,119.17106240009889,119.15739486017264,127.82246870012023,127.82149606011808,127.59161290014163,127.59161290014163,131.79126919992268,131.79126919992268,132.2767958000768,132.2767958000768,132.77339780004695,136.72403550008312,w,1,3943.1685998570174,None,7.919,3.9559147196058637,2.0018126176362534,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,137.04843239998445,137.0815026999917,137.07362956018187,139.92205350007862,139.92150535993278,139.782064500032,139.7881857000757,143.3418010000605,143.3418010000605,143.84242639993317,143.84242639993317,144.3228977001272,145.4237333999481,p,1,1092.4500999972224,None,2.1962239688612075,3.403,1.5494776708791378,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,145.67212889995426,145.7079547001049,145.69001426012255,152.9051934001036,152.90465416014194,152.6823762001004,152.68791670002975,161.45124550000764,161.45124550000764,161.94161620014347,161.94161620014347,162.43925700010732,163.40692550013773,p,1,965.8010001294315,None,6.472959948598369,8.533,1.3182531743994035,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
,,,,,,,,,163.7131251001265,163.74564080010168,163.73967080004513,165.30502420011908,165.30451066000387,165.12274090014398,165.13774690008722,166.06144590000622,166.06144590000622,166.54157130001113,166.54157130001113,167.03925739997067,170.02352580009028,p,0,2970.6598999910057,None,0.8821295051525062,0.741,1.190458171595825,,,,,SEN1116,001,2024-05-23_08h44.12.087,Time estimation,2023.2.3,59.965268131467596,2024-05-23 08h44.32.500282 +0200,
