thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0025129998102784157,0.005543699953705072,0.005543699953705072,161.6524150997866,space,161.64532690006308,None,,,,,,,,,,,,,,,,,,,,,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,162.337444299832,162.39960929984227,162.35137400035745,164.10280789993703,164.10149299984332,164.30809159995988,164.35138019989245,168.45714059984311,168.45714059984311,168.95530309993774,168.95530309993774,169.45228079985827,174.68662539985962,p,1,5217.507699970156,None,1.446,4.338,3,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,175.0231714998372,175.0586312999949,175.0357717001112,176.8345640997868,176.8338080998743,176.6774455998093,176.68392449989915,180.24673829996027,180.24673829996027,180.7212991998531,180.7212991998531,181.21860359981656,182.12001319997944,p,1,897.0621998887509,None,1.132,3.396,3,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,182.38467039982788,182.41972899995744,182.4025116001023,186.5343784999568,186.53351989996153,186.32754889992066,186.33363289991394,187.687302300008,187.687302300008,188.18780519999564,188.18780519999564,188.6684491999913,189.5193632999435,w,1,838.3412999100983,None,3.412,1.1373333333333333,3,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,189.52775159990415,189.5338239998091,189.5338239998091,207.10091139981523,space,17.552603300195187,None,,,,,,,,,,,,,,,,,,,,,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,207.4105411998462,207.44323919992894,207.43351260013878,209.23465100000612,209.23334339985158,209.0581463999115,209.06663849996403,212.60690299980342,212.60690299980342,213.0871609998867,213.0871609998867,213.5848161999602,214.35238529997878,p,1,751.8092000391334,None,1.117,3.355653448748166,3.0041660239464334,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,214.6089335998986,214.6413519999478,214.63494050006847,217.3171885998454,217.31650249988306,217.1068740999326,217.1068740999326,221.25662150001153,221.25662150001153,221.73693499993533,221.73693499993533,222.23455860000104,223.3020120000001,p,1,1054.6442000195384,None,1.9577256959382978,3.919,2.0018126176362534,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,223.55734259984456,223.59304869989865,223.58456010015215,225.6335249999538,225.6330714000156,225.41710079996847,225.41710079996847,226.4869425999932,226.4869425999932,226.98734429990873,226.98734429990873,227.4845133998897,228.11887339991517,w,1,621.3081001769751,None,1.317056020247267,0.85,1.5494776708791378,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,228.3710967998486,228.40393319982104,228.38474190016277,234.1668625997845,234.16618009984958,233.9379100999795,233.94940299983136,240.8364176999312,240.8364176999312,241.33670270000584,241.33670270000584,241.83409379981458,243.43530479981564,p,1,1590.3205999638885,None,5.0475888313575,6.654,1.3182531743994035,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,243.73205039999448,243.7642433999572,243.75114570020233,245.49986739992164,245.49939209993462,245.32718779984862,245.33269499987364,246.77662089979276,246.77662089979276,247.25328949978575,247.25328949978575,247.7507095998153,248.91858810000122,w,0,1165.6526001170278,None,1.055,1.2559333710335951,1.190458171595825,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,249.20168459997512,249.23362189996988,249.2175292002037,254.79986859997734,254.799127099826,254.60802459996194,254.61584659991786,261.2491295998916,261.23794189980254,261.75309809995815,261.75309809995815,262.25050590001047,262.46813349984586,p,1,200.44669997878373,None,4.88145989326503,6.435,1.3182531743994035,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,262.76776379998773,262.8003980999347,262.7840209000046,266.36617389996536,266.36568129996306,266.1781017999165,266.1823261999525,270.16633569984697,270.16633569984697,270.65294019994326,270.65294019994326,271.150411099894,274.3845850999933,w,0,3217.7445001434535,None,2.881843999147452,3.799,1.3182531743994035,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
,,,,,,,,,274.6968694999814,274.7310447997879,274.7171169000212,283.7660623998381,283.76538609995043,283.599329699995,283.61522719985805,289.1866412998643,289.1866412998643,289.6692913000006,289.6692913000006,290.1667772999499,290.50103919999674,w,1,332.6865998096764,None,8.37,5.401820340690069,1.5494776708791378,,,,,ZFA816,001,2024-05-15_14h48.24.439,Time estimation,2023.2.3,60.079148271110874,2024-05-15 14h48.51.123805 +0200,
