thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1.2401648000231944,1.2881046999827959,1.2881046999827959,50.10516249999637,space,48.80912200000603,None,,,,,,,,,,,,,,,,,,,,,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,51.51415210001869,51.62640130001819,51.53738514011493,55.92204099998344,55.915948589978505,56.86329190002289,56.931520999991335,57.53021629998693,57.53516889997991,58.03218510001898,58.03218510001898,58.51674509997247,67.3850183999748,w,1,8859.81220001122,None,4.798,1.5993333333333333,3,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,68.12661490001483,68.18380320002325,68.16573193004007,76.14343050000025,76.14263139002142,76.43362650001654,76.44169649999822,78.73005910002394,78.74028540001018,79.23623829998542,79.23623829998542,79.72628900001291,81.29608130000997,w,1,1565.4824000084773,None,7.7490000000000006,2.583,3,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,82.04431680002017,82.09119760000613,82.07740203004215,83.3240379000199,83.32329529000563,83.62276110000676,83.63021869998192,86.40661090001231,86.40661090001231,86.92121260002023,86.92121260002023,87.40646149998065,89.44371780002257,p,1,2030.3714000037871,None,1.0256666666666667,3.077,3,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,89.48977919999743,89.50085339997895,89.50085339997895,95.98764080001274,space,6.480038599984255,None,,,,,,,,,,,,,,,,,,,,,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,96.75861040002201,96.80452359997435,96.78638552005869,102.15130750002572,102.15038929001312,102.45215249998728,102.45944020000752,103.86797399999341,103.86797399999341,104.35868800000753,104.35868800000753,104.85074640001403,110.90246670000488,p,0,6048.2073000166565,None,5.148,1.7136203388777134,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,111.62148909998359,111.66842970001744,111.65048435007338,114.7137412999873,114.71310068999301,114.9826894000289,114.99008979997598,115.66813910001656,115.66813910001656,116.17644449998625,116.17644449998625,116.6471092000138,118.81622209999477,w,1,2164.02589995414,None,2.8088952323899155,0.935,3.0041660239464334,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,119.39821620000293,119.44807049998781,119.4306681300339,123.57736819999991,123.57619409001782,123.70248769997852,123.71013530000346,131.11822130001383,131.11822130001383,131.62072020000778,131.62072020000778,132.10865629999898,137.77645850001136,w,0,5651.242099993397,None,3.759093100774609,7.525,2.0018126176362534,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,138.53381980000995,138.58922760002315,138.57461862008788,140.93840109999292,140.93745519000223,141.2531005999772,141.2604202000075,146.69771819998277,146.69771819998277,147.18505799997365,147.18505799997365,147.66966840001987,168.3166501999949,p,1,20634.15719999466,None,2.151224759468246,5.734,2.66545835099879,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,168.98999849997927,169.03907910000999,169.03114667006886,175.27668419998372,175.2756030900113,175.50109380000504,175.50109380000504,177.5205764999846,177.52692009997554,178.02493730001152,178.02493730001152,178.5090844000224,196.65698730002623,w,1,18134.87140001962,None,5.951,2.232636648691233,2.66545835099879,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,197.39560609997716,197.44202920002863,197.42132794004866,200.0016292000073,200.00049498997979,200.28235240001231,200.2899770999793,204.6893046000041,204.69740150001599,205.1859187000082,205.1859187000082,205.68369159998838,206.60303499997826,w,0,901.0092999669723,None,2.339,4.682239712651197,2.0018126176362534,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
,,,,,,,,,207.21844480000436,207.26489960000617,207.25103531003114,210.43137200002093,210.4303081900056,210.59277889999794,210.60022070002742,211.50877309998032,211.50877309998032,212.00929020001786,212.00929020001786,212.49761149997357,220.71609559998615,w,1,8214.686100021936,None,2.8227203937077188,1.059,2.66545835099879,MRO317,001,2024-11-25_14h51.39.210,Time estimation,2023.2.3,59.90158171194913,2024-11-25 14h52.00.946056 +0100,
