measure,age,ss_1_19,raw_min,raw_max
OTm_total,6,1,0,1
OTm_total,6,2,NA,NA
OTm_total,6,3,2,2
OTm_total,6,4,3,3
OTm_total,6,5,NA,NA
OTm_total,6,6,4,4
OTm_total,6,7,5,5
OTm_total,6,8,6,6
OTm_total,6,9,7,7
OTm_total,6,10,8,8
OTm_total,6,11,9,9
OTm_total,6,12,10,10
OTm_total,6,13,11,11
OTm_total,6,14,NA,NA
OTm_total,6,15,12,12
OTm_total,6,16,13,13
OTm_total,6,17,14,14
OTm_total,6,18,NA,NA
OTm_total,6,19,15,16
OTm_total,6.25,1,0,1
OTm_total,6.25,2,NA,NA
OTm_total,6.25,3,2,2
OTm_total,6.25,4,3,3
OTm_total,6.25,5,4,4
OTm_total,6.25,6,NA,NA
OTm_total,6.25,7,5,5
OTm_total,6.25,8,6,6
OTm_total,6.25,9,7,7
OTm_total,6.25,10,8,8
OTm_total,6.25,11,9,9
OTm_total,6.25,12,10,10
OTm_total,6.25,13,11,11
OTm_total,6.25,14,12,12
OTm_total,6.25,15,13,13
OTm_total,6.25,16,NA,NA
OTm_total,6.25,17,14,14
OTm_total,6.25,18,NA,NA
OTm_total,6.25,19,15,16
OTm_total,6.5,1,0,1
OTm_total,6.5,2,NA,NA
OTm_total,6.5,3,2,2
OTm_total,6.5,4,3,3
OTm_total,6.5,5,4,4
OTm_total,6.5,6,5,5
OTm_total,6.5,7,6,6
OTm_total,6.5,8,7,7
OTm_total,6.5,9,NA,NA
OTm_total,6.5,10,8,8
OTm_total,6.5,11,9,9
OTm_total,6.5,12,10,10
OTm_total,6.5,13,11,11
OTm_total,6.5,14,12,12
OTm_total,6.5,15,13,13
OTm_total,6.5,16,14,14
OTm_total,6.5,17,NA,NA
OTm_total,6.5,18,NA,NA
OTm_total,6.5,19,15,16
OTm_total,6.75,1,0,1
OTm_total,6.75,2,2,2
OTm_total,6.75,3,NA,NA
OTm_total,6.75,4,3,3
OTm_total,6.75,5,4,4
OTm_total,6.75,6,5,5
OTm_total,6.75,7,6,6
OTm_total,6.75,8,7,7
OTm_total,6.75,9,8,8
OTm_total,6.75,10,9,9
OTm_total,6.75,11,10,10
OTm_total,6.75,12,NA,NA
OTm_total,6.75,13,11,11
OTm_total,6.75,14,12,12
OTm_total,6.75,15,13,13
OTm_total,6.75,16,14,14
OTm_total,6.75,17,NA,NA
OTm_total,6.75,18,NA,NA
OTm_total,6.75,19,15,16
OTm_total,7,1,0,1
OTm_total,7,2,2,2
OTm_total,7,3,3,3
OTm_total,7,4,4,4
OTm_total,7,5,NA,NA
OTm_total,7,6,5,5
OTm_total,7,7,6,6
OTm_total,7,8,7,7
OTm_total,7,9,8,8
OTm_total,7,10,9,9
OTm_total,7,11,10,10
OTm_total,7,12,11,11
OTm_total,7,13,12,12
OTm_total,7,14,NA,NA
OTm_total,7,15,13,13
OTm_total,7,16,14,14
OTm_total,7,17,15,15
OTm_total,7,18,NA,NA
OTm_total,7,19,16,16
OTm_total,7.25,1,0,2
OTm_total,7.25,2,NA,NA
OTm_total,7.25,3,3,3
OTm_total,7.25,4,4,4
OTm_total,7.25,5,5,5
OTm_total,7.25,6,NA,NA
OTm_total,7.25,7,6,6
OTm_total,7.25,8,7,7
OTm_total,7.25,9,8,8
OTm_total,7.25,10,9,9
OTm_total,7.25,11,10,10
OTm_total,7.25,12,11,11
OTm_total,7.25,13,12,12
OTm_total,7.25,14,13,13
OTm_total,7.25,15,NA,NA
OTm_total,7.25,16,14,14
OTm_total,7.25,17,15,15
OTm_total,7.25,18,NA,NA
OTm_total,7.25,19,16,16
OTm_total,7.5,1,0,2
OTm_total,7.5,2,NA,NA
OTm_total,7.5,3,3,3
OTm_total,7.5,4,4,4
OTm_total,7.5,5,5,5
OTm_total,7.5,6,6,6
OTm_total,7.5,7,7,7
OTm_total,7.5,8,8,8
OTm_total,7.5,9,9,9
OTm_total,7.5,10,10,10
OTm_total,7.5,11,NA,NA
OTm_total,7.5,12,11,11
OTm_total,7.5,13,12,12
OTm_total,7.5,14,13,13
OTm_total,7.5,15,14,14
OTm_total,7.5,16,NA,NA
OTm_total,7.5,17,15,15
OTm_total,7.5,18,NA,NA
OTm_total,7.5,19,16,16
OTm_total,7.75,1,0,2
OTm_total,7.75,2,NA,NA
OTm_total,7.75,3,3,3
OTm_total,7.75,4,4,4
OTm_total,7.75,5,5,5
OTm_total,7.75,6,6,6
OTm_total,7.75,7,7,7
OTm_total,7.75,8,8,8
OTm_total,7.75,9,9,9
OTm_total,7.75,10,10,10
OTm_total,7.75,11,11,11
OTm_total,7.75,12,NA,NA
OTm_total,7.75,13,12,12
OTm_total,7.75,14,13,13
OTm_total,7.75,15,14,14
OTm_total,7.75,16,NA,NA
OTm_total,7.75,17,15,15
OTm_total,7.75,18,NA,NA
OTm_total,7.75,19,16,16
OTm_total,8,1,0,2
OTm_total,8,2,3,3
OTm_total,8,3,4,4
OTm_total,8,4,NA,NA
OTm_total,8,5,5,5
OTm_total,8,6,6,6
OTm_total,8,7,7,7
OTm_total,8,8,8,8
OTm_total,8,9,9,9
OTm_total,8,10,10,10
OTm_total,8,11,11,11
OTm_total,8,12,12,12
OTm_total,8,13,13,13
OTm_total,8,14,NA,NA
OTm_total,8,15,14,14
OTm_total,8,16,15,15
OTm_total,8,17,NA,NA
OTm_total,8,18,NA,NA
OTm_total,8,19,16,16
OTm_total,8.25,1,0,2
OTm_total,8.25,2,3,3
OTm_total,8.25,3,4,4
OTm_total,8.25,4,5,5
OTm_total,8.25,5,6,6
OTm_total,8.25,6,7,7
OTm_total,8.25,7,NA,NA
OTm_total,8.25,8,8,8
OTm_total,8.25,9,9,9
OTm_total,8.25,10,10,10
OTm_total,8.25,11,11,11
OTm_total,8.25,12,12,12
OTm_total,8.25,13,13,13
OTm_total,8.25,14,NA,NA
OTm_total,8.25,15,14,14
OTm_total,8.25,16,15,15
OTm_total,8.25,17,NA,NA
OTm_total,8.25,18,NA,NA
OTm_total,8.25,19,16,16
OTm_total,8.5,1,0,3
OTm_total,8.5,2,NA,NA
OTm_total,8.5,3,4,4
OTm_total,8.5,4,5,5
OTm_total,8.5,5,6,6
OTm_total,8.5,6,7,7
OTm_total,8.5,7,8,8
OTm_total,8.5,8,9,9
OTm_total,8.5,9,10,10
OTm_total,8.5,10,NA,NA
OTm_total,8.5,11,11,11
OTm_total,8.5,12,12,12
OTm_total,8.5,13,13,13
OTm_total,8.5,14,14,14
OTm_total,8.5,15,NA,NA
OTm_total,8.5,16,15,15
OTm_total,8.5,17,NA,NA
OTm_total,8.5,18,NA,NA
OTm_total,8.5,19,16,16
OTm_total,8.75,1,0,3
OTm_total,8.75,2,NA,NA
OTm_total,8.75,3,4,4
OTm_total,8.75,4,5,5
OTm_total,8.75,5,6,6
OTm_total,8.75,6,7,7
OTm_total,8.75,7,8,8
OTm_total,8.75,8,9,9
OTm_total,8.75,9,10,10
OTm_total,8.75,10,11,11
OTm_total,8.75,11,NA,NA
OTm_total,8.75,12,12,12
OTm_total,8.75,13,13,13
OTm_total,8.75,14,14,14
OTm_total,8.75,15,NA,NA
OTm_total,8.75,16,15,15
OTm_total,8.75,17,NA,NA
OTm_total,8.75,18,16,16
OTm_total,8.75,19,NA,NA
OTm_total,9,1,0,3
OTm_total,9,2,4,4
OTm_total,9,3,NA,NA
OTm_total,9,4,5,5
OTm_total,9,5,6,6
OTm_total,9,6,7,7
OTm_total,9,7,8,8
OTm_total,9,8,9,9
OTm_total,9,9,10,10
OTm_total,9,10,11,11
OTm_total,9,11,12,12
OTm_total,9,12,NA,NA
OTm_total,9,13,13,13
OTm_total,9,14,14,14
OTm_total,9,15,15,15
OTm_total,9,16,NA,NA
OTm_total,9,17,NA,NA
OTm_total,9,18,16,16
OTm_total,9,19,NA,NA
OTm_total,9.25,1,0,3
OTm_total,9.25,2,4,4
OTm_total,9.25,3,5,5
OTm_total,9.25,4,6,6
OTm_total,9.25,5,7,7
OTm_total,9.25,6,8,8
OTm_total,9.25,7,NA,NA
OTm_total,9.25,8,9,9
OTm_total,9.25,9,10,10
OTm_total,9.25,10,11,11
OTm_total,9.25,11,12,12
OTm_total,9.25,12,13,13
OTm_total,9.25,13,14,14
OTm_total,9.25,14,NA,NA
OTm_total,9.25,15,15,15
OTm_total,9.25,16,NA,NA
OTm_total,9.25,17,NA,NA
OTm_total,9.25,18,16,16
OTm_total,9.25,19,NA,NA
OTm_total,9.5,1,0,3
OTm_total,9.5,2,4,4
OTm_total,9.5,3,5,5
OTm_total,9.5,4,6,6
OTm_total,9.5,5,7,7
OTm_total,9.5,6,8,8
OTm_total,9.5,7,9,9
OTm_total,9.5,8,10,10
OTm_total,9.5,9,NA,NA
OTm_total,9.5,10,11,11
OTm_total,9.5,11,12,12
OTm_total,9.5,12,13,13
OTm_total,9.5,13,14,14
OTm_total,9.5,14,NA,NA
OTm_total,9.5,15,15,15
OTm_total,9.5,16,NA,NA
OTm_total,9.5,17,NA,NA
OTm_total,9.5,18,16,16
OTm_total,9.5,19,NA,NA
OTm_total,9.75,1,0,4
OTm_total,9.75,2,NA,NA
OTm_total,9.75,3,5,5
OTm_total,9.75,4,6,6
OTm_total,9.75,5,7,7
OTm_total,9.75,6,8,8
OTm_total,9.75,7,9,9
OTm_total,9.75,8,10,10
OTm_total,9.75,9,11,11
OTm_total,9.75,10,12,12
OTm_total,9.75,11,NA,NA
OTm_total,9.75,12,13,13
OTm_total,9.75,13,14,14
OTm_total,9.75,14,NA,NA
OTm_total,9.75,15,15,15
OTm_total,9.75,16,NA,NA
OTm_total,9.75,17,NA,NA
OTm_total,9.75,18,16,16
OTm_total,9.75,19,NA,NA
OTm_total,10,1,0,4
OTm_total,10,2,5,5
OTm_total,10,3,NA,NA
OTm_total,10,4,6,6
OTm_total,10,5,7,7
OTm_total,10,6,8,8
OTm_total,10,7,9,9
OTm_total,10,8,10,10
OTm_total,10,9,11,11
OTm_total,10,10,12,12
OTm_total,10,11,NA,NA
OTm_total,10,12,13,13
OTm_total,10,13,14,14
OTm_total,10,14,15,15
OTm_total,10,15,NA,NA
OTm_total,10,16,NA,NA
OTm_total,10,17,16,16
OTm_total,10,18,NA,NA
OTm_total,10,19,NA,NA
OTm_total,10.25,1,0,4
OTm_total,10.25,2,5,5
OTm_total,10.25,3,6,6
OTm_total,10.25,4,7,7
OTm_total,10.25,5,8,8
OTm_total,10.25,6,NA,NA
OTm_total,10.25,7,9,9
OTm_total,10.25,8,10,10
OTm_total,10.25,9,11,11
OTm_total,10.25,10,12,12
OTm_total,10.25,11,13,13
OTm_total,10.25,12,NA,NA
OTm_total,10.25,13,14,14
OTm_total,10.25,14,15,15
OTm_total,10.25,15,NA,NA
OTm_total,10.25,16,NA,NA
OTm_total,10.25,17,16,16
OTm_total,10.25,18,NA,NA
OTm_total,10.25,19,NA,NA
OTm_total,10.5,1,0,4
OTm_total,10.5,2,5,5
OTm_total,10.5,3,6,6
OTm_total,10.5,4,7,7
OTm_total,10.5,5,8,8
OTm_total,10.5,6,9,9
OTm_total,10.5,7,10,10
OTm_total,10.5,8,11,11
OTm_total,10.5,9,NA,NA
OTm_total,10.5,10,12,12
